sample	sex	genotype	treatment
2012	F	Esr1 KO	HDM
2015	M	Esr1 KO	PBS
2131	M	WT	PBS
2134	M	WT	HDM
2136	M	WT	PBS
2137	M	WT	PBS
2163	F	Esr2 KO	HDM
2167	M	Esr2 KO	PBS
2192	F	Esr2 KO	PBS
2195	M	Esr2 KO	HDM
2198	M	Esr2 KO	HDM
2205	M	WT	HDM
2207	M	WT	HDM
2224	F	Esr1 KO	HDM
2242	F	WT	PBS
2243	F	WT	PBS
2244	F	WT	PBS
2245	F	WT	HDM
2249	F	WT	HDM
2254	F	Esr1 KO	PBS
2257	M	Esr1 KO	PBS
2259	M	Esr1 KO	HDM
2295	F	Esr2 KO	HDM
2296	F	Esr2 KO	PBS
2297	F	Esr2 KO	PBS
2298	F	Esr2 KO	HDM
2299	F	Esr2 KO	PBS
2306	M	Esr2 KO	PBS
2308	M	Esr2 KO	PBS
2311	F	Esr2 KO	HDM
2312	F	Esr2 KO	PBS
2317	F	Esr1 KO	HDM
2320	M	Esr2 KO	PBS
2332	F	WT	HDM
2383	M	WT	HDM
2387	F	WT	PBS
2388	F	WT	HDM
2389	F	WT	HDM
2435	F	Esr2 KO	HDM
2437	M	Esr2 KO	PBS
2439	M	Esr2 KO	HDM
2511	F	Esr1 KO	PBS
2525	M	WT	PBS
2531	F	WT	HDM
2609	M	Esr2 KO	HDM
2614	M	Esr1 KO	PBS
2685	F	Esr2 KO	HDM
2755	M	Esr1 KO	PBS
2761	M	Esr1 KO	HDM
3126	F	Esr1 KO	PBS
3230	M	Esr1 KO	PBS
3236	F	Esr1 KO	HDM
3237	F	Esr1 KO	PBS
3269	F	Esr2 KO	PBS
